path,emotion,speaker,file,activation,valence,dominance,session,utterance,label,duration
Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_F001.wav,hap,Ses02M,Ses02M_script01_3_F001,4.0,3.5,3.0,2,1,1,2.4614
Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_F002.wav,hap,Ses02M,Ses02M_script01_3_F002,4.0,3.0,3.5,2,2,1,5.108201
Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_F003.wav,hap,Ses02M,Ses02M_script01_3_F003,3.5,2.5,3.0,2,3,1,7.3844986
Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_F007.wav,hap,Ses02M,Ses02M_script01_3_F007,3.0,3.0,3.5,2,7,1,3.493702
Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_F008.wav,neu,Ses02M,Ses02M_script01_3_F008,2.5,2.5,3.0,2,8,3,3.8377
Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_F009.wav,hap,Ses02M,Ses02M_script01_3_F009,4.0,3.5,3.5,2,9,1,4.790596
Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_F012.wav,hap,Ses02M,Ses02M_script01_3_F012,4.0,3.0,3.0,2,12,1,3.7847977
Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_F013.wav,hap,Ses02M,Ses02M_script01_3_F013,4.0,3.0,3.5,2,13,1,2.1968079
Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_F019.wav,sad,Ses02M,Ses02M_script01_3_F019,2.0,2.5,3.5,2,19,2,9.554794
Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_F021.wav,sad,Ses02M,Ses02M_script01_3_F021,2.0,2.0,3.5,2,21,2,3.8112946
Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_F025.wav,sad,Ses02M,Ses02M_script01_3_F025,2.5,2.5,3.5,2,25,2,3.5202026
Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_F026.wav,sad,Ses02M,Ses02M_script01_3_F026,2.0,3.5,4.5,2,26,2,9.501801
Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_F027.wav,sad,Ses02M,Ses02M_script01_3_F027,2.5,4.0,4.0,2,27,2,8.496002
Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_F028.wav,hap,Ses02M,Ses02M_script01_3_F028,4.0,3.5,4.0,2,28,1,3.3612976
Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_M000.wav,hap,Ses02M,Ses02M_script01_3_M000,4.0,2.5,3.0,2,0,1,3.1731005
Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_M010.wav,hap,Ses02M,Ses02M_script01_3_M010,4.0,4.0,4.0,2,10,1,10.1371
Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_M014.wav,hap,Ses02M,Ses02M_script01_3_M014,4.0,3.5,3.5,2,14,1,3.5465927
Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_M015.wav,hap,Ses02M,Ses02M_script01_3_M015,3.5,3.0,3.5,2,15,1,2.8320007
Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_M020.wav,sad,Ses02M,Ses02M_script01_3_M020,3.0,3.5,3.5,2,20,2,4.3141937
Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_M021.wav,sad,Ses02M,Ses02M_script01_3_M021,2.0,2.5,2.5,2,21,2,3.440796
Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_M022.wav,sad,Ses02M,Ses02M_script01_3_M022,2.5,3.0,3.0,2,22,2,5.822891
Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_M025.wav,sad,Ses02M,Ses02M_script01_3_M025,2.0,2.0,3.0,2,25,2,3.917099
Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_M026.wav,sad,Ses02M,Ses02M_script01_3_M026,2.0,2.5,3.0,2,26,2,3.096695
Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_M027.wav,sad,Ses02M,Ses02M_script01_3_M027,2.0,3.0,3.5,2,27,2,7.225601
Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_M028.wav,sad,Ses02M,Ses02M_script01_3_M028,3.0,3.5,4.0,2,28,2,15.192291
Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_M029.wav,sad,Ses02M,Ses02M_script01_3_M029,2.0,3.5,4.5,2,29,2,10.163498
Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_M030.wav,sad,Ses02M,Ses02M_script01_3_M030,2.0,3.0,4.5,2,30,2,16.674377
Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_M031.wav,sad,Ses02M,Ses02M_script01_3_M031,2.5,4.0,4.5,2,31,2,12.4661255
Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_M032.wav,sad,Ses02M,Ses02M_script01_3_M032,1.5,3.5,4.5,2,32,2,20.512299
Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_M033.wav,sad,Ses02M,Ses02M_script01_3_M033,1.5,3.5,4.5,2,33,2,22.523804
Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_M034.wav,sad,Ses02M,Ses02M_script01_3_M034,2.5,3.5,4.5,2,34,2,13.233704
Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_M035.wav,sad,Ses02M,Ses02M_script01_3_M035,2.5,2.5,4.5,2,35,2,14.107117
Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_M036.wav,neu,Ses02M,Ses02M_script01_3_M036,3.0,2.5,3.5,2,36,3,3.4673157
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F000.wav,hap,Ses02M,Ses02M_impro07_F000,3.5,3.5,3.0,2,0,1,2.1023006
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F001.wav,hap,Ses02M,Ses02M_impro07_F001,4.0,3.0,2.5,2,1,1,4.2187004
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F003.wav,hap,Ses02M,Ses02M_impro07_F003,4.5,4.0,3.5,2,3,1,2.4237995
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F004.wav,hap,Ses02M,Ses02M_impro07_F004,4.5,4.5,4.0,2,4,1,2.0411015
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F005.wav,hap,Ses02M,Ses02M_impro07_F005,4.5,4.0,3.5,2,5,1,1.8865013
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F006.wav,hap,Ses02M,Ses02M_impro07_F006,5.0,4.5,4.0,2,6,1,2.2804985
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F007.wav,hap,Ses02M,Ses02M_impro07_F007,4.0,3.5,4.0,2,7,1,7.5051994
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F008.wav,hap,Ses02M,Ses02M_impro07_F008,4.0,3.0,3.0,2,8,1,1.7033997
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F009.wav,hap,Ses02M,Ses02M_impro07_F009,3.0,3.5,3.0,2,9,1,1.403202
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F010.wav,hap,Ses02M,Ses02M_impro07_F010,4.5,4.0,4.0,2,10,1,3.706398
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F011.wav,hap,Ses02M,Ses02M_impro07_F011,4.0,3.0,3.0,2,11,1,1.6100006
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F012.wav,hap,Ses02M,Ses02M_impro07_F012,4.5,3.5,3.0,2,12,1,1.2699966
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F013.wav,hap,Ses02M,Ses02M_impro07_F013,4.5,4.5,3.5,2,13,1,2.4116974
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F014.wav,hap,Ses02M,Ses02M_impro07_F014,4.0,4.5,3.5,2,14,1,3.4888992
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F015.wav,hap,Ses02M,Ses02M_impro07_F015,3.5,2.5,3.0,2,15,1,1.5946045
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F016.wav,hap,Ses02M,Ses02M_impro07_F016,3.5,3.0,3.0,2,16,1,2.0429993
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F017.wav,hap,Ses02M,Ses02M_impro07_F017,3.5,3.0,3.5,2,17,1,4.3252945
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F018.wav,hap,Ses02M,Ses02M_impro07_F018,4.5,4.5,4.0,2,18,1,8.024696
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F019.wav,hap,Ses02M,Ses02M_impro07_F019,3.5,2.5,3.5,2,19,1,1.9973984
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F020.wav,hap,Ses02M,Ses02M_impro07_F020,4.0,3.0,3.0,2,20,1,3.369995
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F021.wav,hap,Ses02M,Ses02M_impro07_F021,3.5,2.5,3.0,2,21,1,1.6371002
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F022.wav,hap,Ses02M,Ses02M_impro07_F022,4.5,4.5,3.5,2,22,1,2.2700043
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F023.wav,hap,Ses02M,Ses02M_impro07_F023,3.5,3.5,3.0,2,23,1,4.0
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F024.wav,hap,Ses02M,Ses02M_impro07_F024,4.0,3.5,3.0,2,24,1,2.0600128
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F025.wav,hap,Ses02M,Ses02M_impro07_F025,4.0,3.5,3.5,2,25,1,5.8165894
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F026.wav,hap,Ses02M,Ses02M_impro07_F026,4.0,3.0,3.5,2,26,1,1.4899902
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F027.wav,hap,Ses02M,Ses02M_impro07_F027,3.5,2.5,3.5,2,27,1,1.9087982
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F028.wav,hap,Ses02M,Ses02M_impro07_F028,4.0,3.0,3.5,2,28,1,4.802109
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F029.wav,hap,Ses02M,Ses02M_impro07_F029,4.0,3.0,3.0,2,29,1,4.4099884
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_M002.wav,hap,Ses02M,Ses02M_impro07_M002,5.0,4.0,4.0,2,2,1,1.4938011
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_M006.wav,hap,Ses02M,Ses02M_impro07_M006,4.5,4.5,4.5,2,6,1,2.468998
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_M007.wav,hap,Ses02M,Ses02M_impro07_M007,4.5,4.0,4.5,2,7,1,4.8871994
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_M008.wav,hap,Ses02M,Ses02M_impro07_M008,3.5,3.0,3.5,2,8,1,1.1968002
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_M009.wav,hap,Ses02M,Ses02M_impro07_M009,3.0,4.0,4.0,2,9,1,5.91
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_M010.wav,hap,Ses02M,Ses02M_impro07_M010,3.0,3.0,2.5,2,10,1,1.4400024
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_M011.wav,hap,Ses02M,Ses02M_impro07_M011,3.5,2.5,2.5,2,11,1,1.7600021
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_M013.wav,hap,Ses02M,Ses02M_impro07_M013,3.5,3.0,3.0,2,13,1,1.6299973
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_M014.wav,hap,Ses02M,Ses02M_impro07_M014,4.5,3.5,4.0,2,14,1,3.1899948
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_M015.wav,hap,Ses02M,Ses02M_impro07_M015,4.5,4.0,4.0,2,15,1,3.5482025
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_M017.wav,hap,Ses02M,Ses02M_impro07_M017,4.0,3.5,3.5,2,17,1,3.409996
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_M018.wav,hap,Ses02M,Ses02M_impro07_M018,3.5,3.0,3.0,2,18,1,1.0100021
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_M019.wav,hap,Ses02M,Ses02M_impro07_M019,4.5,4.0,3.0,2,19,1,2.1699982
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_M020.wav,hap,Ses02M,Ses02M_impro07_M020,4.5,4.0,4.0,2,20,1,4.3099976
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_M021.wav,hap,Ses02M,Ses02M_impro07_M021,4.5,3.5,4.5,2,21,1,5.1800003
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_M022.wav,hap,Ses02M,Ses02M_impro07_M022,3.5,2.5,2.5,2,22,1,1.617897
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_M023.wav,hap,Ses02M,Ses02M_impro07_M023,3.5,4.0,2.5,2,23,1,7.4300003
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_M024.wav,hap,Ses02M,Ses02M_impro07_M024,3.0,3.5,2.5,2,24,1,2.5199966
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_M025.wav,hap,Ses02M,Ses02M_impro07_M025,3.5,3.5,4.0,2,25,1,7.1399994
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_M026.wav,hap,Ses02M,Ses02M_impro07_M026,4.0,4.0,4.0,2,26,1,9.349998
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_M029.wav,hap,Ses02M,Ses02M_impro07_M029,3.5,4.0,4.0,2,29,1,7.4488983
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_M030.wav,hap,Ses02M,Ses02M_impro07_M030,4.0,2.5,3.5,2,30,1,1.8600006
Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_M031.wav,hap,Ses02M,Ses02M_impro07_M031,4.0,4.0,3.5,2,31,1,8.258606
